EkeV          Fluxpos
  1.0058E+03  2.4382E-07
  1.0174E+03  2.4804E-07
  1.0292E+03  2.5234E-07
  1.0411E+03  2.5673E-07
  1.0532E+03  2.6120E-07
  1.0654E+03  2.6576E-07
  1.0777E+03  2.7040E-07
  1.0902E+03  2.7514E-07
  1.1028E+03  2.7997E-07
  1.1156E+03  2.8489E-07
  1.1285E+03  2.8990E-07
  1.1416E+03  2.9502E-07
  1.1548E+03  3.0023E-07
  1.1682E+03  3.0555E-07
  1.1817E+03  3.1097E-07
  1.1954E+03  3.1650E-07
  1.2092E+03  3.2213E-07
  1.2232E+03  3.2788E-07
  1.2374E+03  3.3374E-07
  1.2517E+03  3.3972E-07
  1.2662E+03  3.4581E-07
  1.2809E+03  3.5202E-07
  1.2957E+03  3.5836E-07
  1.3107E+03  3.6482E-07
  1.3259E+03  3.7141E-07
  1.3412E+03  3.7813E-07
  1.3568E+03  3.8499E-07
  1.3725E+03  3.9198E-07
  1.3884E+03  3.9911E-07
  1.4044E+03  4.0638E-07
  1.4207E+03  4.1380E-07
  1.4371E+03  4.2137E-07
  1.4538E+03  4.2909E-07
  1.4706E+03  4.3696E-07
  1.4876E+03  4.4500E-07
  1.5049E+03  4.5319E-07
  1.5223E+03  4.6155E-07
  1.5399E+03  4.7008E-07
  1.5578E+03  4.7878E-07
  1.5758E+03  4.8765E-07
  1.5940E+03  4.9671E-07
  1.6125E+03  5.0595E-07
  1.6312E+03  5.1537E-07
  1.6501E+03  5.2499E-07
  1.6692E+03  5.3480E-07
  1.6885E+03  5.4482E-07
  1.7080E+03  5.5503E-07
  1.7278E+03  5.6546E-07
  1.7478E+03  5.7610E-07
  1.7681E+03  5.8695E-07
  1.7885E+03  5.9803E-07
  1.8093E+03  6.0933E-07
  1.8302E+03  6.2087E-07
  1.8514E+03  6.3264E-07
  1.8728E+03  6.4466E-07
  1.8945E+03  6.5692E-07
  1.9165E+03  6.6943E-07
  1.9387E+03  6.8220E-07
  1.9611E+03  6.9524E-07
  1.9838E+03  7.0854E-07
  2.0068E+03  7.2212E-07
  2.0300E+03  7.3598E-07
  2.0535E+03  7.5013E-07
  2.0773E+03  7.6457E-07
  2.1014E+03  7.7931E-07
  2.1257E+03  7.9435E-07
  2.1503E+03  8.0971E-07
  2.1752E+03  8.2539E-07
  2.2004E+03  8.4139E-07
  2.2259E+03  8.5773E-07
  2.2516E+03  8.7441E-07
  2.2777E+03  8.9143E-07
  2.3041E+03  9.0881E-07
  2.3308E+03  9.2656E-07
  2.3578E+03  9.4467E-07
  2.3851E+03  9.6317E-07
  2.4127E+03  9.8205E-07
  2.4406E+03  1.0013E-06
  2.4689E+03  1.0210E-06
  2.4975E+03  1.0411E-06
  2.5264E+03  1.0616E-06
  2.5556E+03  1.0826E-06
  2.5852E+03  1.1040E-06
  2.6152E+03  1.1258E-06
  2.6455E+03  1.1481E-06
  2.6761E+03  1.1709E-06
  2.7071E+03  1.1941E-06
  2.7384E+03  1.2179E-06
  2.7701E+03  1.2421E-06
  2.8022E+03  1.2669E-06
  2.8347E+03  1.2922E-06
  2.8675E+03  1.3180E-06
  2.9007E+03  1.3444E-06
  2.9343E+03  1.3713E-06
  2.9682E+03  1.3988E-06
  3.0026E+03  1.4269E-06
  3.0374E+03  1.4555E-06
  3.0726E+03  1.4848E-06
  3.1081E+03  1.5147E-06
  3.1441E+03  1.5453E-06
  3.1805E+03  1.5765E-06
  3.2174E+03  1.6083E-06
  3.2546E+03  1.6409E-06
  3.2923E+03  1.6741E-06
  3.3304E+03  1.7081E-06
  3.3690E+03  1.7427E-06
  3.4080E+03  1.7781E-06
  3.4475E+03  1.8143E-06
  3.4874E+03  1.8513E-06
  3.5278E+03  1.8890E-06
  3.5686E+03  1.9275E-06
  3.6099E+03  1.9669E-06
  3.6517E+03  2.0071E-06
  3.6940E+03  2.0482E-06
  3.7368E+03  2.0901E-06
  3.7801E+03  2.1330E-06
  3.8238E+03  2.1768E-06
