EkeV          Fluxele
  1.0058E+03  3.1075E-06
  1.0174E+03  3.1613E-06
  1.0292E+03  3.2161E-06
  1.0411E+03  3.2720E-06
  1.0532E+03  3.3290E-06
  1.0654E+03  3.3871E-06
  1.0777E+03  3.4463E-06
  1.0902E+03  3.5067E-06
  1.1028E+03  3.5682E-06
  1.1156E+03  3.6309E-06
  1.1285E+03  3.6948E-06
  1.1416E+03  3.7600E-06
  1.1548E+03  3.8265E-06
  1.1682E+03  3.8943E-06
  1.1817E+03  3.9634E-06
  1.1954E+03  4.0338E-06
  1.2092E+03  4.1056E-06
  1.2232E+03  4.1789E-06
  1.2374E+03  4.2535E-06
  1.2517E+03  4.3297E-06
  1.2662E+03  4.4074E-06
  1.2809E+03  4.4866E-06
  1.2957E+03  4.5673E-06
  1.3107E+03  4.6497E-06
  1.3259E+03  4.7337E-06
  1.3412E+03  4.8193E-06
  1.3568E+03  4.9067E-06
  1.3725E+03  4.9958E-06
  1.3884E+03  5.0867E-06
  1.4044E+03  5.1794E-06
  1.4207E+03  5.2740E-06
  1.4371E+03  5.3704E-06
  1.4538E+03  5.4688E-06
  1.4706E+03  5.5692E-06
  1.4876E+03  5.6715E-06
  1.5049E+03  5.7760E-06
  1.5223E+03  5.8825E-06
  1.5399E+03  5.9912E-06
  1.5578E+03  6.1021E-06
  1.5758E+03  6.2152E-06
  1.5940E+03  6.3306E-06
  1.6125E+03  6.4484E-06
  1.6312E+03  6.5685E-06
  1.6501E+03  6.6911E-06
  1.6692E+03  6.8161E-06
  1.6885E+03  6.9437E-06
  1.7080E+03  7.0740E-06
  1.7278E+03  7.2068E-06
  1.7478E+03  7.3424E-06
  1.7681E+03  7.4808E-06
  1.7885E+03  7.6219E-06
  1.8093E+03  7.7660E-06
  1.8302E+03  7.9130E-06
  1.8514E+03  8.0631E-06
  1.8728E+03  8.2162E-06
  1.8945E+03  8.3725E-06
  1.9165E+03  8.5320E-06
  1.9387E+03  8.6947E-06
  1.9611E+03  8.8609E-06
  1.9838E+03  9.0304E-06
  2.0068E+03  9.2035E-06
  2.0300E+03  9.3802E-06
  2.0535E+03  9.5605E-06
  2.0773E+03  9.7445E-06
  2.1014E+03  9.9323E-06
  2.1257E+03  1.0124E-05
  2.1503E+03  1.0320E-05
  2.1752E+03  1.0520E-05
  2.2004E+03  1.0724E-05
  2.2259E+03  1.0932E-05
  2.2516E+03  1.1144E-05
  2.2777E+03  1.1361E-05
  2.3041E+03  1.1583E-05
  2.3308E+03  1.1809E-05
  2.3578E+03  1.2040E-05
  2.3851E+03  1.2276E-05
  2.4127E+03  1.2516E-05
  2.4406E+03  1.2762E-05
  2.4689E+03  1.3013E-05
  2.4975E+03  1.3269E-05
  2.5264E+03  1.3531E-05
  2.5556E+03  1.3798E-05
  2.5852E+03  1.4070E-05
  2.6152E+03  1.4349E-05
  2.6455E+03  1.4633E-05
  2.6761E+03  1.4923E-05
  2.7071E+03  1.5219E-05
  2.7384E+03  1.5522E-05
  2.7701E+03  1.5831E-05
  2.8022E+03  1.6147E-05
  2.8347E+03  1.6469E-05
  2.8675E+03  1.6798E-05
  2.9007E+03  1.7134E-05
  2.9343E+03  1.7477E-05
  2.9682E+03  1.7828E-05
  3.0026E+03  1.8185E-05
  3.0374E+03  1.8551E-05
  3.0726E+03  1.8924E-05
  3.1081E+03  1.9305E-05
  3.1441E+03  1.9695E-05
  3.1805E+03  2.0092E-05
  3.2174E+03  2.0498E-05
  3.2546E+03  2.0913E-05
  3.2923E+03  2.1337E-05
  3.3304E+03  2.1769E-05
  3.3690E+03  2.2211E-05
  3.4080E+03  2.2663E-05
  3.4475E+03  2.3124E-05
  3.4874E+03  2.3594E-05
  3.5278E+03  2.4075E-05
  3.5686E+03  2.4567E-05
  3.6099E+03  2.5068E-05
  3.6517E+03  2.5581E-05
  3.6940E+03  2.6104E-05
  3.7368E+03  2.6639E-05
  3.7801E+03  2.7185E-05
  3.8238E+03  2.7743E-05
  3.8681E+03  2.8313E-05
  3.9129E+03  2.8895E-05
  3.9582E+03  2.9490E-05
  4.0041E+03  3.0097E-05
  4.0504E+03  3.0718E-05
  4.0973E+03  3.1352E-05
  4.1448E+03  3.1999E-05
  4.1928E+03  3.2661E-05
  4.2413E+03  3.3336E-05
  4.2904E+03  3.4027E-05
  4.3401E+03  3.4732E-05
  4.3904E+03  3.5452E-05
  4.4412E+03  3.6188E-05
  4.4926E+03  3.6940E-05
  4.5446E+03  3.7708E-05
  4.5973E+03  3.8493E-05
  4.6505E+03  3.9295E-05
  4.7044E+03  4.0114E-05
  4.7588E+03  4.0950E-05
  4.8139E+03  4.1805E-05
  4.8697E+03  4.2678E-05
  4.9261E+03  4.3571E-05
  4.9831E+03  4.4482E-05
  5.0408E+03  4.5413E-05
  5.0992E+03  4.6365E-05
  5.1582E+03  4.7337E-05
  5.2180E+03  4.8330E-05
  5.2784E+03  4.9344E-05
  5.3395E+03  5.0381E-05
  5.4013E+03  5.1440E-05
  5.4639E+03  5.2522E-05
  5.5271E+03  5.3627E-05
  5.5911E+03  5.4756E-05
  5.6559E+03  5.5910E-05
  5.7214E+03  5.7089E-05
  5.7876E+03  5.8294E-05
  5.8546E+03  5.9525E-05
  5.9224E+03  6.0782E-05
  5.9910E+03  6.2067E-05
  6.0604E+03  6.3379E-05
  6.1306E+03  6.4720E-05
  6.2015E+03  6.6090E-05
  6.2734E+03  6.7490E-05
  6.3460E+03  6.8921E-05
  6.4195E+03  7.0382E-05
  6.4938E+03  7.1875E-05
  6.5690E+03  7.3401E-05
  6.6451E+03  7.4959E-05
  6.7220E+03  7.6552E-05
  6.7999E+03  7.8179E-05
  6.8786E+03  7.9842E-05
  6.9582E+03  8.1540E-05
  7.0388E+03  8.3276E-05
  7.1203E+03  8.5049E-05
  7.2028E+03  8.6861E-05
  7.2862E+03  8.8712E-05
  7.3706E+03  9.0603E-05
  7.4559E+03  9.2535E-05
  7.5422E+03  9.4510E-05
  7.6296E+03  9.6527E-05
  7.7179E+03  9.8588E-05
  7.8073E+03  1.0069E-04
  7.8977E+03  1.0285E-04
  7.9891E+03  1.0504E-04
  8.0816E+03  1.0729E-04
  8.1752E+03  1.0958E-04
  8.2699E+03  1.1193E-04
